ID;Timestamp;Role;Sentiment;Sentiment_priority;Keyword;Keyword_priority;Transcript;Markers;;Note
1;0:02;Subject;None;0;;0;I;;;
2;0:09;Subject;None;0;;0;know;;;
3;0:11;Subject;Heightened;1;;0;check what is going on;;;
4;0:14;Subject;Heightened;0;;0;man you came in;TASER CEW markers: Safety Off (armed).;;
5;0:19;Subject;Heightened;0;;0;get who are;;;
6;0:28;Subject;Heightened;0;get off;0;you get off of her bro get off of her;;;
7;0:31;Subject;Heightened;0;punch;1;what are you doing he punched me twice;;;
8;0:33;Subject;Escalatory;0;arrest;1;what are you doing arrest me I work here;;;
9;0:36;Subject;Heightened;0;;0;what are you doing close I over trying;TASER CEW markers: Arc (arc button press).;;
10;0:39;Subject;Heightened;0;;0;to show him he wasn't in the FR to tell;;;
11;0:42;Subject;Heightened;0;punch;1;me you okay he punch me in my head with;;;
12;0:46;Officer;Respectful/Professional;0;;0;all right let me figure out what's going on;TASER CEW markers: Trigger (discharge/deploy), with cycle length noted in the title.;;
13;0:48;Officer;Respectful/Professional;0;;0;going on okay give me a second;;;
14;0:50;Officer;Respectful/Professional;1;;0;hey man let me talk to you real quick;;;
15;0:54;Officer;Respectful/Professional;0;;0;what is happening why did you feel the need to do this;;;
16;0:56;Officer;Respectful/Professional;0;;0;I work here;Signal Sidearm markers: Firearm draw/unholster.;;
17;0:58;Officer;Respectful/Professional;0;;0;I don't care if here;;;
18;1:00;Officer;Respectful/Professional;0;;0;so explain to explain to me why did you;;;
19;1:03;Officer;Respectful/Professional;0;;0;feel the;;;
20;1:04;Subject;Heightened;0;;0;yesterday Wei receiving the mlan truck;Chapter markers: Created by pressing the hardware marker button on Axon Body 2 (AB2);;
21;1:07;Subject;Heightened;0;;0;nobody to St his clothes nobody's;;;
22;1:08;Subject;Heightened;0;;0;allowed in the store until the truck;;;
23;1:09;Officer;Respectful/Professional;0;;0;leaves okay I I understand that the;;;
24;1:11;Officer;Respectful/Professional;0;;0;store was closed but what listen to me I;;;
25;1:14;Officer;Escalatory;1;;0;don't listen to me answer my questions;;;
26;1:16;Officer;Respectful/Professional;0;;0;why did you feel the need the store was;;;
27;1:18;Subject;Heightened;0;;0;closed and she was in the store nobody's;;;
28;1:20;Subject;Heightened;0;;0;allowed in the store until that mlan;;;
29;1:21;Officer;Respectful/Professional;0;;0;truck Le so the store is closed no one's;;;
30;1:24;Officer;Respectful/Professional;0;;0;allowed in so you kept her in the store;;;
31;1:26;Subject;Heightened;0;;0;I didn't keep her in the store you were;;;
32;1:27;Officer;Escalatory;1;on top;0;on top of her bro you watch the camera;;;
33;1:30;Officer;Escalatory;0;;0;you were on when I got here I saw you on;;;
34;1:32;Officer;Escalatory;0;;0;top of her I I don't care that you were;;;
35;1:34;Subject;Escalatory;0;;0;here you want me to clock out then you;;;
36;1:36;Subject;Escalatory;0;arrest;1;arrest me I don't care what you do;;;
37;1:38;Officer;Respectful/Professional;0;;0;explain to me why is it that you f scan;;;
38;1:41;Officer;Respectful/Professional;0;;0;this right here sir if you want;;;
39;1:45;Officer;Respectful/Professional;0;;0;to explain I'm trying you're not;;;
40;1:48;Officer;Escalatory;0;;0;answering my questions expl the proced;;;
41;1:50;Officer;Respectful/Professional;0;;0;911 during the emergency okay so was the;;;
42;1:52;Officer;Respectful/Professional;0;jump;1;procedure to jump on top of somebody;;;
43;1:54;Officer;Respectful/Professional;0;;0;watch the camera so explain to me why;;;
44;1:57;Officer;Respectful/Professional;0;;0;did you feel the need to keep her inside;;;
45;1:59;Officer;Respectful/Professional;0;;0;the store;;;
46;2:01;Officer;None;0;;0;what are you showing;;;
47;2:02;Subject;None;0;;0;me my father;;;
48;2:05;Subject;None;0;;0;ID 911 from my office start you're at 10;;;
49;2:09;Officer;Escalatory;0;;0;what 0025 Orange Avenue okay you're not;;;
50;2:12;Officer;Escalatory;0;;0;answering my question do your job t Okay;;;
51;2:14;Officer;Escalatory;0;;0;so answer my questions then I'm trying;;;
52;2:16;Officer;Respectful/Professional;0;;0;to do my job why did you feel the need;;;
53;2:19;Officer;Respectful/Professional;0;on top;1;to to to be on top of this;;;
54;2:23;Officer;Escalatory;0;;0;woman hey don't walk away from me I'm;;;
55;2:25;Officer;Respectful/Professional;0;;0;trying to talk to you he me;;;
56;2:30;Subject;Heightened;1;;0;sir I have a knot on my head;;;
57;2:33;Officer;Compassionate;0;;0;you want me to call you an ambulance;;;
58;2:35;Officer;Compassionate;0;;0;you need me to call you an;;;
59;2:39;Officer;Respectful/Professional;0;;0;ambulance can I have FDB 51 please I'm;;;
60;2:42;Subject;None;0;;0;here for Uber Eats sorry;;;
61;2:45;Officer;Respectful/Professional;0;;0;bro he wasn't in the front of the door;;;
62;2:48;Officer;Respectful/Professional;1;;0;you explain to me what happened;;;
63;2:50;Subject;Heightened;0;;0;I came in I'm parked in this side my;;;
64;2:51;Subject;None;0;;0;boyfriend's a parri he's in the car;;;
