ID,Timestamp,Role,Sentiment,Sentiment_priority,Keyword,Keyword_priority,Transcript,Markers
1,0:12,Officer,Respectful/Professional,1,,,"Hey, out of the car. Out of the car.",TASER CEW markers: Safety Off (armed).
2,0:16,Subject,Heightened,,,,I'm coming.,
3,0:17,Officer,Respectful/Professional,,,,Put it in park.,TASER CEW markers: Arc (arc button press).
4,0:18,Subject,Heightened,,,,I am. I'm coming.,
5,0:22,Officer,Heightened,,,,Put in park. Step out.,
6,0:23,Officer,Heightened,1,reaching,,Please stop reaching. Stop reaching. Get out of the car.,
7,0:27,Subject,Heightened,,scared,,Grab me. I'm scared.,"TASER CEW markers: Trigger (discharge/deploy), with cycle length noted in the title."
8,0:28,Officer,Respectful/Professional,,hands,1,Okay. Get out of the car. Put your hands behind your back.,
9,0:33,Subject,Heightened,,,,Please. I need to tell my partner.,
10,0:35,Officer,Heightened,1,tased,,Stop. Put your hands behind your back. You're going to get tased. Do you want to get tased?,
11,0:40,Subject,Heightened,,,,"No, you don't need to do that. I want—",Signal Sidearm markers: Firearm draw/unholster.
12,0:41,Officer,Heightened,1,hands,,"No, you're not listening. Put your hands behind your back.",
13,0:45,Subject,Heightened,,,,I will listen. Please don't put on Bonnie.,
14,0:49,Subject,Heightened,1,,,Please don't put on—,
15,0:53,Officer,Respectful/Professional,,,,Stop.,Chapter markers: Created by pressing the hardware marker button on Axon Body 2 (AB2)
16,0:54,Subject,Heightened,,,,"Sir, please stop.",
17,0:57,Subject,Heightened,,,,The car's on.,
18,0:58,Officer,Respectful/Professional,,,,I know it is.,
19,1:00,Officer,Respectful/Professional,,detained,1,Julia 30 flagger. Female detained.,
20,1:03,Subject,Heightened,,,,Are you going to take me somewhere?,
21,1:07,Officer,Respectful/Professional,,"warrant, arrest",1,"Taylor, you have a warrant for your arrest.",
22,1:09,Subject,Heightened,,,,What do you mean?,
23,1:10,Officer,Respectful/Professional,,"warrant, arrest",,You have a warrant for your arrest out of Vermont.,
24,1:13,Subject,Heightened,,,,"So, you have to take me somewhere?",
25,1:15,Officer,Respectful/Professional,,warrant,,"As soon as they confirm the warrant, you're going to be taken somewhere.",
26,1:19,Officer,Respectful/Professional,1,jail,,You got to go to jail.,
27,1:21,Subject,Heightened,,,,Why?,
28,1:22,Officer,Respectful/Professional,,warrant,,Because you got a warrant out of Vermont.,
29,1:28,Subject,Heightened,1,,,It's unfortunate.,
30,1:35,Officer,Respectful/Professional,1,escape,,Now you're going for escape.,
31,1:37,Subject,Heightened,,scared,,No please. I'm too scared. My wrist.,
32,1:40,Officer,Dismissive,,ran,1,Then you shouldn't have ran.,
33,1:42,Subject,Heightened,,scared,,I'm sorry. I'm scared.,
34,1:47,Officer,Respectful/Professional,1,,,She just took off on me.,
35,1:48,Subject,Heightened,,scared,,I'm sorry. I'm just scared.,
36,1:51,Officer,Respectful/Professional,,charge,,You do no charge.,
37,1:52,Subject,Heightened,1,"pregnant, scared",,I'm pregnant. I'm scared.,
38,1:54,Officer,Respectful/Professional,,"charges, warrants",,"Hey, just got more charges. All your warrants.",
39,1:58,Officer,Compassionate,1,pregnant,,She's pregnant. 7 months or 6 months.,
40,2:01,Officer,Compassionate,,pregnant,,6 months pregnant.,
41,2:04,Officer,Compassionate,,fall,1,Did she fall or anything?,
42,2:07,Subject,Heightened,,scared,,I'm sorry. I'm just scared.,
43,2:09,Officer,Respectful/Professional,1,pregnant,,Why'd you run? You're 7 months pregnant.,
44,2:11,Subject,Heightened,,scared,,I'm just so scared.,
